title_eng,title_eng_dub,title_jap,poster_link,no_episodes,status,aired_start,aired_end,studio,duration,tags,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishoujo Senshi Sailor Moon Crystal ,Pretty Guardian Sailor Moon Crystal ,美少女戦士セーラームーン Crystal ,https://i.animepahe.com/posters/89265184a847349ce4c7f21098d5e2ad.jpg ,26,Finished Airing ,Jul 05 2014 ,Jul 05 2014 ,Toei Animation ,24 minutes ,Demons;Magic;Romance;Shoujo ,Though a little clumsy and easily brought to tears;; Usagi Tsukino is a typical 14-year-old girl in her second year of junior high. However;; all of that changes when an encounter with Luna;; a mysterious talking black cat;; whose head bears the mark of a crescent moon;; results in the animal bestowing a magical brooch upon her. Now Usagi can transform into Sailor Moon;; a magical girl in a sailor uniform who protects love and peace!Usagi is appointed as a guardian of justice and is tasked with the search for the legendary Silver Crystal;; a magical artifact that holds immense power;; as well as finding the other Sailor Guardians and the lost princess of Luna's home;; the Moon Kingdom. Her mission isn't without opposition;; however; Queen Beryl;; ruler of the Dark Kingdom;; wants to claim the Silver Crystal and take its power for her own.Though she still has to worry about her school;; family;; and love life;; it is up to Sailor Moon and the other Sailor Guardians to save the day!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishoujo Senshi Sailor Moon Crystal Season III ,Pretty Guardian Sailor Moon Crystal Season III ,美少女戦士セーラームーンCrystal　第３期＜デス・バスターズ編＞ ,https://i.animepahe.com/posters/2fcda53b1a1d21a8b68c219a79c5c0da.jpg ,13,Finished Airing ,Apr 04 2016 ,Apr 04 2016 ,Toei Animation ,24 minutes ,Demons;Magic;Romance;Shoujo ,Usagi Tsukino is still struggling to balance her home life with the duties of being Sailor Moon;; the guardian of love and justice. Along with the other Sailor Guardians and her boyfriend Mamoru Chiba;; they begin investigating cases of students from Mugen Academy;; a school for the most elite students;; who are being transformed into monsters. During the investigation;; they meet three strange individuals: Haruka Tenou;; a handsome racecar driver; Michiru Kaiou;; a talented violinist; and Hotaru Tomoe;; a mysterious girl with a weak constitution.As more incidents occur;; the Sailor Guardians are met with another surprise—the appearance of two new planetary protectors with motives of their own. Despite the newcomers' questionable allegiance to Usagi and her comrades;; they all face a threat from a common enemy: an evil entity who calls himself Pharaoh 90.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bullet ,Black Bullet ,ブラック・ブレット　BLACK BULLET　［黒の銃弾］ ,https://i.animepahe.com/posters/26075fc16522f877fd9d273ba6ef97b4.jpg ,13,Finished Airing ,Apr 08 2014 ,Apr 08 2014 ,Kinema Citrus:Orange ,24 minutes ,Action;Sci-Fi;Mystery;Seinen ,"In the year 2021;; a parasitic virus known as ""Gastrea"" infects humans and turns them into monsters. What is left of mankind now lives within the Monolith walls;; walls that are made of Varanium;; the only material that can hurt Gastrea.To counter the threat that the Gastrea pose;; ""Cursed Children""—female children whose bodies contain trace amounts of the virus which grant them superhuman abilities—officially called Initiators by the Tendo Civil Security;; are given partners called Promoters;; people who work to guide and protect the young Initiators. These teams of two are sent out on missions to fight the monsters created by the Gastrea virus and keep them at bay. Black Bullet revolves around the team of Enju Aihara;; an Initiator;; and Satomi Rentaro;; a Promoter;; as they go on missions to fight the growing threat of Gastrea in their hometown of Tokyo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bullet: Tenchuu＊Girls , ,天誅ガールズ「ミライ＊ガール」 ,https://i.animepahe.com/posters/7ab3a413098d8efde4faa97311ae3be4.jpg ,1,Finished Airing ,Oct 08 2014 ,Oct 08 2014 ,Kinema Citrus ,1 minutes ,Fantasy ,Short special featuring 'Tenchu Girls';; a group of characters from the TV series.Included in the 4th volume of the Blu-ray/DVD releases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Clover ,Black Clover ,ブラッククローバー ,https://i.animepahe.com/posters/a9f92e96464f09329d28adc131a6d968c4704b2fa3bf0ddbbf5ef65b072d44d1.jpg ,Unknown ,Currently Airing ,Oct 03 2017 ,Oct 03 2017 ,Studio Pierrot ,23 minutes ,Action;Comedy;Magic;Fantasy;Shounen ,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children;; they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However;; as they grew up;; the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control;; Asta cannot use magic at all and desperately tries to awaken his powers by training physically.When they reach the age of 15;; Yuno is bestowed a spectacular Grimoire with a four-leaf clover;; while Asta receives nothing. However;; soon after;; Yuno is attacked by a person named Lebuty;; whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty;; but he is outmatched. Though without hope and on the brink of defeat;; he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage;; Asta receives a five-leaf clover Grimoire;; a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later;; the two friends head out into the world;; both seeking the same goal—to become the Wizard King!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Clover: Jump Festa 2016 Special , ,ブラッククローバー ,https://i.animepahe.com/posters/680c1eb2b86b1fa5db278e3cd81a6e17.jpg ,1,Finished Airing ,Nov 27 2016 ,Nov 27 2016 ,Xebec ,27 minutes ,Action;Comedy;Magic;Fantasy;Shounen ,An OVA episode bundled with the 11th manga volume.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Clover: Jump Festa 2018 Special ,Black Clover: The All Magic Knights Thanksgiving Festa ,JSAF2018スペシャルアニメ「オール魔法騎士感謝祭」 ,https://i.animepahe.com/posters/8cf1d170b7501a69ffd3b8cf757c3d9ca6501f0f8922d2415213754b3ab2e214.jpg ,1,Finished Airing ,Nov 25 2018 ,Nov 25 2018 ,Studio Pierrot ,23 minutes ,Comedy;Fantasy;Shounen ,The special episode features the captains of the different squads plus Asta and Yuno participating in a quiz show.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Fox ,Blackfox ,BLACKFOX ,https://i.animepahe.com/posters/2abe13f023225817eed2d3983462eee81d0df2a5075dfd11dcaa5ab35394ea5d.jpg ,1,Finished Airing ,Oct 05 2019 ,Oct 05 2019 ,Studio 3Hz ,90 minutes ,Action ,Rikka Isurugi has spent her life training in the way of the ninja with her grandfather Hyoe while following in the footsteps of her father;; the esteemed researcher Allen. His work has culminated in a set of cutting- edge drones equipped with artificial intelligence and incredible technical capabilities; although Allen plans to develop these drones for civilian use;; there are others who have more sinister ideas in mind.On Rikka's 16th birthday;; things are forever changed when a paramilitary group raids the Isurugi house in search of the drone technology;; killing Allen and Hyoe while Rikka manages to escape with the drones. Months pass;; and Rikka is now an ordinary girl working as a private detective while sharing an apartment with another girl;; Melissa. But when night falls;; she dons her grandfather's fox mask and mercilessly hunts down those responsible for the attack. With the anger she felt that day driving her forward;; Rikka will not rest until her family's killers receive the justice that they deserve.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lagoon ,Black Lagoon ,BLACK LAGOON ,https://i.animepahe.com/posters/1d940ee65f5ac3f2d9c811a09f28d498.jpg ,12,Finished Airing ,Apr 09 2006 ,Apr 09 2006 ,Madhouse ,24 minutes ,Action;Seinen ,Within Thailand is Roanapur;; a depraved;; crime-ridden city where not even the authorities or churches are untouched by the claws of corruption. A haven for convicts and degenerates alike;; the city is notorious for being the center of illegal activities and operations;; often fueled by local crime syndicates.Enter Rokurou Okajima;; an average Japanese businessman who has been living a dull and monotonous life;; when he finally gets his chance for a change of pace with a delivery trip to Southeast Asia. His business trip swiftly goes downhill as Rokurou is captured by a mercenary group operating in Roanapur;; called Black Lagoon. The group plans to use him as a bargaining chip in negotiations which ultimately failed. Now abandoned and betrayed by his former employer;; Rokurou decides to join Black Lagoon. In order to survive;; he must quickly adapt to his new environment and prepare himself for the bloodshed and tribulation to come.A non-stop;; high-octane thriller;; Black Lagoon delves into the depths of human morality and virtue. Witness Rokurou struggling to keep his values and philosophies intact as he slowly transforms from businessman to ruthless mercenary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lagoon Omake , ,ブラック・ラグーン オマケ ,https://i.animepahe.com/posters/7a247aee78cbd8e553b36de89ded688b.jpg ,7,Finished Airing ,Dec 23 2009 ,Dec 23 2009 ,Madhouse ,3 minutes ,Comedy ,Special omake episodes from the Blu-Ray releases;; showing the heroines and foes in funny;; uncommon situations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lagoon: Roberta's Blood Trail ,Black Lagoon: Roberta's Blood Trail ,BLACK LAGOON Roberta's Blood Trail ,https://i.animepahe.com/posters/ad1b408e1fa639dd02ac9898e26077f1.jpg ,5,Finished Airing ,Jun 27 2010 ,Jun 27 2010 ,Madhouse ,33 minutes ,Action;Seinen ,Roberta;; the terrorist-turned-maid that made her appearence in the first season of Black Lagoon;; returns in this five-episode OVA series—and this time;; all bets are off!Roberta's benefactor;; the patriarch of the Lovelace clan;; is murdered during a political rally. The assassin's trail soon leads back to Roanapur—so now she has returned on a mission of vengeance! However;; close behind her is the new patriarch;; Garcia;; as well as Roberta's apprentice (and maid);; Fabiola Iglesias. As the body count of Roberta's bloody rampage mounts;; forces from within the corrupt island (which includes the Lagoon Company);; as well as overseas converge on what threatens to escalate into all-out war!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lagoon: The Second Barrage ,Black Lagoon: The Second Barrage ,BLACK LAGOON The Second Barrage ,https://i.animepahe.com/posters/056bb9be2295291f0462da854b6b8beb.jpg ,12,Finished Airing ,Oct 03 2006 ,Oct 03 2006 ,Madhouse ,24 minutes ,Action;Seinen ,"Rokurou ""Rock"" Okajima has joined the Lagoon Company;; a pirate mercenary group which operates out of Roanapur;; Thailand. Despite his initial protests;; this filthy slum of depraved souls and merciless criminals now serves as the former salaryman's home. Stranded;; with nothing left of his past life but the clothes on his back and his inner morality;; Rock is forced to perform jobs alongside the other members of the Lagoon crew. Berated for his lack of spine as he wades through the underbelly of society;; he must decide whether to continue on amidst the gunfire and ruthlessness or risk everything he has in an attempt to be free. Whether he chooses the comfort of a familiar land or the freedom of being an outlaw;; his decision will have lasting consequences on the crew who gave him a home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black★Rock Shooter (OVA) , ,ブラック★ロックシューター ,https://i.animepahe.com/posters/166beccceddca8dca6f25c53c43f1d70.jpg ,1,Finished Airing ,Jul 24 2010 ,Jul 24 2010 ,Ordet ,52 minutes ,Action;Slice of Life;Drama;School ,On her first day of junior high school;; Mato Kuroi meets Yomi Takanashi. Though Yomi is initially taken aback by Mako's straightforward personality;; the pair quickly becomes friends and begin to spend time together daily. As a sign of their friendship;; Mato gives Yomi a cell phone charm—a blue star;; identical to her own.However;; when the two enter their second year;; their relationship starts to change. Placed in a different class;; Mato begins to spend more time with Yuu Koutari instead;; a girl she met through the basketball team. In fact;; the former best friends drift apart so much so that Mato cannot find Yomi anywhere;; as if she had disappeared entirely.Elsewhere;; Black★Rock Shooter is on a quest to vanquish the Dead Master. These two;; while opposed;; bear a connection not unlike Mato and Yomi. As their stories begin to cross;; it seems Yomi's disappearance may have to do with the blue star-shaped charm and the legendary gunslinger herself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black★Rock Shooter (TV) ,Black Rock Shooter ,ブラック★ロックシューター ,https://i.animepahe.com/posters/09352f6685c0e077e3539c16d2f0ff1b.jpg ,8,Finished Airing ,Feb 03 2012 ,Feb 03 2012 ,Ordet:SANZIGEN ,23 minutes ,Action;Drama;School;Slice of Life ,"On the first day of junior high school;; Mato Kuroi happens to run into Yomi Takanashi;; a shy;; withdrawn girl whom she immediately takes an interest in. Mato tries her best to make conversation with Yomi;; wanting to befriend her. At first;; she is avoided;; but the ice breaks when Yomi happens to notice a decorative blue bird attached to Mato's phone;; which is from the book ""Li'l Birds At Play."" Discovering they have a common interest;; the two form a strong friendship.In an alternate universe;; the young girls exist as parallel beings;; Mato as Black★Rock Shooter;; and Yomi as Dead Master. Somehow;; what happens in one world seems to have an effect on the other;; and unaware of this fact;; the girls unknowingly become entangled by the threads of fate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade ,Blade ,ブレイド ,https://i.animepahe.com/posters/18576263c213c82af3bf04301ce30989.jpg ,12,Finished Airing ,Jul 01 2011 ,Jul 01 2011 ,Madhouse ,24 minutes ,Action;Drama;Horror;Vampire ,"The story revolves around Blade;; a ""Daywalker"" vampire hunter who was born with vampire and human blood after a vampire attacked his mother. While visiting Japan on a mission;; Blade tracks down Deacon Frost;; the vampire who killed his mother. Blade confronts ""Existence;;"" a mysterious organization composed of vampires modified by Frost.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade & Soul ,Blade & Soul ,ブレイドアンドソウル ,https://i.animepahe.com/posters/3858940fe8f391740255bb167b2ed9aa.jpg ,13,Finished Airing ,Apr 04 2014 ,Apr 04 2014 ,Gonzo ,24 minutes ,Action;Adventure;Fantasy;Martial Arts ,Alka is an assassin for the Clan of the Sword. She's on a journey to find the woman Jin Valel;; who killed her master Hon without feeling—not unlike how Alka has learned to kill in her work as an assassin. On her journey;; Alka encounters three strange women;; each a great warrior in her own right and grapples with her slain master's wish that she leaves the life of an assassin behind.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade of the Immortal ,Blade of the Immortal ,無限の住人 ,https://i.animepahe.com/posters/1971d29dacece8c23331e58fdada13d9e50e01dcd002d9ddf0ddf036a0f76d2b.jpg ,13,Finished Airing ,Jul 14 2008 ,Jul 14 2008 ,Bee Train ,24 minutes ,Action;Adventure;Historical;Samurai;Supernatural ,Manji is an amoral swordsman;; who has been cursed with eternal life. He has grown tired of living with all the death he has created. He has no skills other then those of killing;; thus he forms a plan to regain his mortality: he shall kill one hundred evil men for each good one he has killed. The old witch who afflicted Manji with immortality agrees to Manji's proposition and Manji is set on his path to kill one thousand evil men. On his journey he meets a young girl;; Rin;; who has her own vengeance to seek against the sword school whose members slaughtered Rin's family. Rin and Manji journey together;; each hoping to find some kind of peace. In their way are many varied enemies. Rin and Manji are almost constantly under attack and must learn to live their lives;; avoiding being consumed by revenge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade Runner: Black Out 2022 , ,BLADE RUNNER BLACK OUT 2022 ,https://i.animepahe.com/posters/f240bb6df595005f94d71abd175287c8.jpg ,1,Finished Airing ,Sep 26 2017 ,Sep 26 2017 ,CygamesPictures ,15 minutes ,Sci-Fi;Thriller ,In 2022;; an EMP detonation causes a global blackout that has massive;; destructive implications all over the world. Directed by Cowboy Bebop and Samurai Champloo's Shinichiro Watanabe;; Blade Runner: Black Out 2022 is an animated short which serves as a prologue for the feature film Blade Runner 2049.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blame! Movie , ,BLAME! ,https://i.animepahe.com/posters/ba3694d4a7722995a29cf8096ae0d81a.jpg ,1,Finished Airing ,May 20 2017 ,May 20 2017 ,Polygon Pictures ,105 minutes ,Action;Drama;Mecha;Psychological;Sci-Fi;Seinen ,"In the distant technological future;; civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order;; resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls;; and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city;; a little enclave known as the Electro-Fishers is facing eventual extinction;; trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village;; only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked;; the only thing that can save her now is the sudden arrival of Killy the Wanderer;; on his quest for the Net Terminal Genes;; the key to restoring order to the world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlazBlue: Alter Memory ,BlazBlue: Alter Memory ,ブレイブルー オルターメモリー ,https://i.animepahe.com/posters/1fbaa24c7f65f2bb66f7ee6f2913ebe3.jpg ,12,Finished Airing ,Oct 09 2013 ,Oct 09 2013 ,Hoods Entertainment:teamKG ,24 minutes ,Action;Fantasy ,"The story is set in December of 2199;; when the streets are full of anticipation for the end of the year and the start of the new one. Amid the celebrations;; word spreads that Ragna the Bloodedge;; an SS-class rebel with the highest ever bounty on his head;; has appeared in the 13th Hierarchical City of Kagutsuchi. The apparent aim of Ragna or the ""Grim Reaper"" is the destruction of the system controlling the world. To collect the bounty;; a motley array of unrivaled fighters converge on Kagutsuchi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleach ,Bleach ,BLEACH - ブリーチ - ,https://i.animepahe.com/posters/a6412701f12c00f8d5a1cfcd4e62d5d54e6a72f3697b6a087c84c9eb0396b142.jpg ,366,Finished Airing ,Oct 05 2004 ,Oct 05 2004 ,Studio Pierrot ,24 minutes ,Action;Adventure;Comedy;Super Power;Supernatural;Shounen ,Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow;; a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki;; who gets injured while protecting Ichigo's family from the assailant. To save his family;; Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result.However;; as Rukia is unable to regain her powers;; Ichigo is given the daunting task of hunting down the Hollows that plague their town. However;; he is not alone in his fight;; as he is later joined by his friends—classmates Orihime Inoue;; Yasutora Sado;; and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield;; the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleach Movie 1: Memories of Nobody ,Bleach the Movie: Memories of Nobody ,劇場版 BLEACH MEMORIES OF NOBODY ,https://i.animepahe.com/posters/473dc9a96c4e5faee5152a7bfe2ada46.jpg ,1,Finished Airing ,Dec 16 2006 ,Dec 16 2006 ,Studio Pierrot ,93 minutes ,Action;Adventure;Comedy;Super Power;Supernatural;Shounen ,"In Karakura Town;; there has been a sudden outbreak of unidentifiable spirits called ""blanks"" while in the skies of Soul Society;; the real world has been reflected. A mysterious female shinigami called Senna has appeared before Ichigo along with a man named Ganryu;; leading a group called the ""Dark Ones.""
""GJ-bu ",GJ Club ,GJ部 ,https://i.animepahe.com/posters/0da475ec7bd62a5e5ae7b4e7b5a615ab.jpg ,12,Finished Airing ,Jan 10 2013 ,Jan 10 2013 ,Doga Kobo ,23 minutes ,Comedy;School;Slice of Life ,"School clubs usually advertise their activities;; but the goings-on of the GJ Club are a mystery. Kyouya ""Kyoro"" Shinomiya recently joined and became the sole male member of the five-person club.Besides Kyoro;; there is Mao Amatsuka;; the club president who has a tendency to bite Kyoro when she gets mad or bashful; Megumi Amatsuka;; Mao's composed younger sister who always makes tea and desserts for the club's members; Shion Sumeragi;; a demure chess prodigy; and Kirara Bernstein;; a meat lover with a strong feline personality. All four girls have some form of interest in Kyoro.With the girls' idiosyncratic and cute personalities;; Kyoro's time in GJ-bu will never be a dull one;; for better or for worse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru ,Bleach the Movie: The DiamondDust Rebellion ,劇場版 BLEACH The DiamondDust Rebellion もう一つの氷輪丸 ,https://i.animepahe.com/posters/aae5d4a426531cc1f55dd0421eff3bd7ae873b8ef6a7706c61aa5b61dca00150.jpg ,1,Finished Airing ,Dec 22 2007 ,Dec 22 2007 ,Studio Pierrot ,92 minutes ,Action;Adventure;Comedy;Super Power;Supernatural;Shounen ,"Assigned to protect a royal procession transporting a powerful artifact called the ""Ouin;;"" Squad 10 gathers in the human world as Captain Toushirou Hitsugaya and Lieutenant Rangiku Matsumoto observe the area cautiously. However;; the caravan is suddenly struck by a group of assailants who wreak havoc on the procession;; stealing the Ouin in the process. After a brief clash with one of the attackers;; the distraught Hitsugaya pursues the escaping thieves;; leaving behind Matsumoto and the disoriented squad. Following the incident;; the Seireitei brands Hitsugaya a traitor for abandoning his post and puts Squad 10 on indefinite lockdown.In the human world;; Ichigo Kurosaki is investigating a spiritual abnormality when he stumbles across the injured Captain;; but is caught off guard when Hitsugaya suddenly flees. Soon learning of the situation;; Ichigo;; Rukia Kuchiki;; Renji Abarai;; and Matsumoto set off to prove Hitsugaya's innocence and uncover the truth behind the theft of the Ouin. Meanwhile;; a ghost from Hitsugaya's past haunts his thoughts as he chases down the true culprit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu ,Bleach the Movie: Fade to Black ,劇場版 BLEACH Fade to Black 君の名を呼ぶ ,https://i.animepahe.com/posters/54cd629b80d03e34cefb89f0ae57e192.jpg ,1,Finished Airing ,Dec 13 2008 ,Dec 13 2008 ,Studio Pierrot ,94 minutes ,Action;Adventure;Comedy;Super Power;Supernatural;Shounen ,After a mysterious pair attack Rukia Kuchiki and erase her memories while she is in Seireitei;; Ichigo Kurosaki;; a substitute Soul Reaper;; briefly forgets Rukia;; until he is reminded of her by Kon;; an Underpod Mod-Soul. Confused;; he seeks his town's candy-shop owner;; Kisuke Urahara;; who opens the pathway to Seireitei for them. Ichigo is then shocked to find that his allies in Seireitei;; the Shinigami of the Soul Society;; have forgotten him.Filled with action;; Kimi no Na wo Yobu follows Ichigo and Kon as they fight against their former comrades while searching for the missing Rukia and discovering her assailants before they strike again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleach Movie 4: Jigoku-hen ,Bleach the Movie: Hell Verse ,劇場版 BLEACH 地獄篇 ,https://i.animepahe.com/posters/f83092d8294218f6901161dd02eae420.jpg ,1,Finished Airing ,Dec 04 2010 ,Dec 04 2010 ,Studio Pierrot ,94 minutes ,Action;Adventure;Comedy;Super Power;Supernatural;Shounen ,"""Hell"" is the place where a person is sent to who committed violent crimes when they were alive. Shinigami are forbidden to go there. One day;; prisoners revolt and make their escape to Karakura—the real world—where Ichigo and his friends live in. Ichigo and his friends are defeated one after the other by prisoners with overwhelming power. A mysterious man appears who comes to their rescue. With Kokutou leading the way;; Ichigo;; Rukia;; Uryuu;; and Renji marche into Hell to save the world.Note: Episode 299 of Bleach serves as a prologue to this movie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blend S ,BLEND-S ,ブレンド・S ,https://i.animepahe.com/posters/19717150c241a8b2fd8cef540a7be04a.jpg ,12,Finished Airing ,Oct 08 2017 ,Oct 08 2017 ,A-1 Pictures ,23 minutes ,Slice of Life;Comedy ,Wishing to be independent;; 16-year-old Maika Sakuranomiya is desperate to nail down a part-time job so that she can afford to study abroad. Unfortunately;; her applications are constantly rejected due to the menacing look she unintentionally makes whenever she smiles;; despite her otherwise cheerful disposition.After yet another failed interview;; she chances upon Café Stile;; a coffee shop where the servers interact with the customers while roleplaying distinctive characteristics. The Italian store manager;; Dino;; becomes infatuated with Maika's cuteness at first sight;; and offers her a job as a waitress with a sadistic nature. Coupled with her inherent clumsiness;; she successfully manages to serve a pair of masochistic customers in accordance with her new;; ruthless persona. Alongside Kaho Hinata as the tsundere and Mafuyu Hoshikawa as the younger sister;; Maika decides to make the most out of her unique quirk and cements her position in the cafe with merciless cruelty!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Lad ,Blood Lad ,ブラッドラッド ,https://i.animepahe.com/posters/a84d6fc7dc855f3c8582d7dc55692e03.jpg ,10,Finished Airing ,Jul 08 2013 ,Jul 08 2013 ,Brain's Base ,24 minutes ,Action;Comedy;Demons;Seinen;Supernatural;Vampire ,Staz Charlie Blood is a powerful vampire who rules the Eastern district of Demon World. According to rumors;; he is a bloodthirsty and merciless monster;; but in reality;; Staz is just an otaku obsessed with Japanese culture and completely uninterested in human blood. Leaving the management of his territory to his underlings;; Staz spends his days lazing around;; indulging in anime;; manga;; and games.When Fuyumi Yanagi;; a Japanese girl;; accidentally wanders through a portal leading into the demon world;; Staz is overjoyed. But just as he is starting to feel an unusual attraction to her;; his territory is attacked;; resulting in Fuyumi's untimely death. She turns into a wandering ghost and the crestfallen Staz vows to resurrect her as this would mean being able to travel to the human world;; something he has always dreamed of.Blood Lad follows Staz and Fuyumi;; soon joined by the spatial magician Bell and the half-werewolf Wolf;; as they travel to find a magic that can bring humans back to life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Lad: Wagahai wa Neko de wa Nai ,Blood Lad OVA ,ブラッドラッド 我輩は猫ではない ,https://i.animepahe.com/posters/9c02583085cf917e07f450c5ee7bf1d6.jpg ,1,Finished Airing ,Dec 04 2013 ,Dec 04 2013 ,Brain's Base ,27 minutes ,Action;Comedy;Demons;Seinen;Supernatural;Vampire ,Bundled with the tenth limited-edition volume of Blood Lad manga.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood-C ,BLOOD-C ,ブラッドシー ,https://i.animepahe.com/posters/dd47ac44e9ae4945af38e01d7ae191e4331bce5ed472efabaf3a5a970e9fde03.jpg ,12,Finished Airing ,Jul 08 2011 ,Jul 08 2011 ,Production I.G ,23 minutes ,Action;Mystery;Horror;Supernatural;Vampire;School ,Peaceful schoolgirl by day;; fearsome monster slayer by night;; Saya Kisaragi is leading a split life. Equipped with a ceremonial sword given to her by her father for sacred tasks;; she vanquishes every monster who dares threaten her quiet little village. But all too soon;; Saya's reality and everything she believes to be true is tested;; when she overhears the monsters speak of a broken covenant—something she knows nothing about. And then;; unexpectedly;; a strange dog appears; it asks her to whom she promised to protect the village;; curious as to what would happen if she were to break that promise. Tormented by unexplainable visions and her world unraveling around her;; we travel with Saya through her struggle to find a way to the truth in a village where nothing is as it seems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood-C: The Last Dark ,Blood-C: The Last Dark ,劇場版 ブラッドシー ザ ラスト ダーク ,https://i.animepahe.com/posters/08ed2882dd09476151b702a97553b5b38cf1e4b09a8fa6355a9e46daed3bfb05.jpg ,1,Finished Airing ,Jun 02 2012 ,Jun 02 2012 ,Production I.G ,110 minutes ,Action;Horror;Supernatural;Vampire ,Having escaped the many horrors of her village;; Saya Kisaragi vows to hunt down the monster responsible and make him pay with his life. As she tears through flesh and bone for her vendetta;; she encounters SIRRUT;; a group of ingenious hackers;; who enlist Saya to help them defeat a common enemy—someone she knows all too well.Unfortunately;; the path she follows is paved with tragedy;; as once again;; Saya faces betrayal at the hands of those she has come to trust. With her back against the wall;; the fearsome monster slayer must fight with all her strength and skill if she is to overcome this final mission and exact vengeance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
